日期,平台,内容类型,主题,标题,内容描述,标签,状态,备注
2025-10-01,小红书,图文,冥想音乐,深度冥想：如何通过音乐达到内心平静,介绍深度冥想音乐的好处，分享APP中的冥想音乐分类,#冥想 #音乐疗愈 #声音疗愈,待发布,
2025-10-01,微博,短文,冥想小贴士,冥想时如何选择合适的背景音乐,简短介绍不同场景下的音乐选择建议,#冥想音乐 #疗愈 #小贴士,待发布,
2025-10-01,抖音,视频,冥想场景,3分钟冥想呼吸法演示,演示使用APP音乐进行冥想呼吸的短视频,#冥想 #呼吸法 #放松,待发布,
2025-10-02,小红书,图文,雨声疗愈,雨声助眠的科学原理,解释雨声如何帮助入睡，分享APP中的雨声分类,#雨声 #助眠 #科学,待发布,
2025-10-02,微博,互动,用户互动,你最喜欢什么声音入睡？,发起投票互动，了解用户偏好,#睡眠 #声音 #互动,待发布,
2025-10-03,小红书,图文,颂钵疗愈,颂钵的神秘力量与疗愈效果,介绍颂钵的历史和疗愈原理，分享APP中的颂钵音乐,#颂钵 #疗愈 #传统文化,待发布,
2025-10-03,微博,音频片段,颂钵体验,30秒颂钵音频片段,分享APP中精选的颂钵音频片段,#颂钵 #音频 #体验,待发布,
2025-10-04,小红书,图文,使用心得,用户真实体验：声音疗愈改变了我的睡眠,分享用户使用APP后的改善效果,#用户体验 #睡眠改善,待发布,
2025-10-04,抖音,视频,APP教程,如何使用声音疗愈APP,演示APP的主要功能和使用方法,#教程 #APP使用,待发布,
2025-10-05,小红书,图文,水声疗愈,流水声的减压效果,解释流水声如何帮助减压，分享相关音频,#流水声 #减压 #自然,待发布,
2025-10-05,微博,互动,周末推荐,周末放松音乐推荐,推荐适合周末放松的音乐清单,#周末 #放松 #音乐推荐,待发布,
2025-10-06,小红书,图文,脉轮音乐,了解7个脉轮及其对应音乐,介绍脉轮知识与音乐疗愈的结合,#脉轮 #能量 #音乐,待发布,
2025-10-06,抖音,视频,脉轮冥想,7分钟脉轮平衡冥想,配合APP脉轮音乐的引导冥想视频,#脉轮 #冥想 #平衡,待发布,
2025-10-07,小红书,图文,火声疗愈,篝火声的温暖与安全感,介绍火声的心理疗愈效果,#火声 #温暖 #安全感,待发布,
2025-10-07,微博,节日祝福,国庆祝福,国庆节快乐！愿音乐伴你度过愉快假期,#国庆 #祝福 #节日,待发布,
